Date and Time (UTC),Transmitter,Station Name,Lat_dd,Lon_dd
2018-09-09 05:26:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:27:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:28:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:28:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-08-14 16:48:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:49:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:49:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:49:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:49:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:49:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:50:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:50:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:50:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:50:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:50:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:50:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
